Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
Yukon,Canada,64.2823,-135.0,1/27/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,1/28/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,1/28/20,1,0,0.0
Grand Princess,Canada,37.6489,-122.6655,1/28/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,1/28/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,1/28/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/28/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,1/28/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,1/28/20,1,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,1/28/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,1/28/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,1/28/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,1/28/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,1/28/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,1/28/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,1/29/20,0,0,1.0
British Columbia,Canada,49.2827,-123.1207,1/29/20,1,0,0.0
Grand Princess,Canada,37.6489,-122.6655,1/29/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,1/29/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,1/29/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/29/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,1/29/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,1/29/20,1,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,1/29/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,1/29/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,1/29/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,1/29/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,1/29/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,1/29/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,1/30/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,1/30/20,1,0,0.0
Grand Princess,Canada,37.6489,-122.6655,1/30/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,1/30/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,1/30/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/30/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,1/30/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,1/30/20,1,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,1/30/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,1/30/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,1/30/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,1/30/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,1/30/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,1/30/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,1/31/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,1/31/20,1,0,0.0
Grand Princess,Canada,37.6489,-122.6655,1/31/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,1/31/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,1/31/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/31/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,1/31/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,1/31/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,1/31/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,1/31/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,1/31/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,1/31/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,1/31/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,1/31/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/1/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/1/20,1,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/1/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/1/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2/1/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/1/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,2/1/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/1/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/1/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/1/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/1/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/1/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/1/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/1/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/2/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/2/20,1,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/2/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/2/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2/2/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/2/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,2/2/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/2/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/2/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/2/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/2/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/2/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/2/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/2/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/3/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/3/20,1,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/3/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/3/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2/3/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/3/20,0,0,5.0
Nova Scotia,Canada,44.682,-63.7443,2/3/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/3/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/3/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/3/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/3/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/3/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/3/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/3/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/4/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/4/20,1,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/4/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/4/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2/4/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/4/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,2/4/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/4/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/4/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/4/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/4/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/4/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/4/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/4/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/5/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/5/20,2,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/5/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/5/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2/5/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/5/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,2/5/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/5/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/5/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/5/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/5/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/5/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/5/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/5/20,0,0,5.0
Alberta,Canada,53.9333,-116.5765,2/6/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/6/20,2,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/6/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/6/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2/6/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/6/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,2/6/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/6/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/6/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/6/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/6/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/6/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/6/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/6/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/7/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/7/20,4,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/7/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/7/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2/7/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/7/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,2/7/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/7/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/7/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/7/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/7/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/7/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/7/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/7/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/8/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/8/20,4,0,72.0
Grand Princess,Canada,37.6489,-122.6655,2/8/20,0,0,37.0
Manitoba,Canada,53.7609,-98.8139,2/8/20,0,0,51.0
New Brunswick,Canada,46.5653,-66.4619,2/8/20,0,0,35.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/8/20,0,0,16.0
Nova Scotia,Canada,44.682,-63.7443,2/8/20,0,0,141.0
Ontario,Canada,51.2538,-85.3232,2/8/20,3,0,18.0
Prince Edward Island,Canada,46.5107,-63.4168,2/8/20,0,0,7.0
Quebec,Canada,52.9399,-73.5491,2/8/20,0,0,19.0
Saskatchewan,Canada,52.9399,-106.4509,2/8/20,0,0,34.0
Diamond Princess,Canada,0.0,0.0,2/8/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/8/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/8/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/9/20,0,0,2222.0
British Columbia,Canada,49.2827,-123.1207,2/9/20,4,0,208.0
Grand Princess,Canada,37.6489,-122.6655,2/9/20,0,0,5.0
Manitoba,Canada,53.7609,-98.8139,2/9/20,0,0,81.0
New Brunswick,Canada,46.5653,-66.4619,2/9/20,0,0,105.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/9/20,0,0,13.0
Nova Scotia,Canada,44.682,-63.7443,2/9/20,0,0,13.0
Ontario,Canada,51.2538,-85.3232,2/9/20,3,0,1.0
Prince Edward Island,Canada,46.5107,-63.4168,2/9/20,0,0,13.0
Quebec,Canada,52.9399,-73.5491,2/9/20,0,0,3.0
Saskatchewan,Canada,52.9399,-106.4509,2/9/20,0,0,30.0
Diamond Princess,Canada,0.0,0.0,2/9/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/9/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/9/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/10/20,0,0,85.0
British Columbia,Canada,49.2827,-123.1207,2/10/20,4,0,10.0
Grand Princess,Canada,37.6489,-122.6655,2/10/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/10/20,0,0,3.0
New Brunswick,Canada,46.5653,-66.4619,2/10/20,0,0,20.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/10/20,0,0,270.0
Nova Scotia,Canada,44.682,-63.7443,2/10/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/10/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/10/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/10/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/10/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/10/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/10/20,0,0,53.0
Yukon,Canada,64.2823,-135.0,2/10/20,0,0,31.0
Alberta,Canada,53.9333,-116.5765,2/11/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/11/20,4,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/11/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/11/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2/11/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/11/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,2/11/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/11/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/11/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/11/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/11/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/11/20,0,0,57.0
Northwest Territories,Canada,64.8255,-124.8457,2/11/20,0,0,170.0
Yukon,Canada,64.2823,-135.0,2/11/20,0,0,24.0
Alberta,Canada,53.9333,-116.5765,2/12/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/12/20,4,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/12/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/12/20,0,0,1.0
New Brunswick,Canada,46.5653,-66.4619,2/12/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/12/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,2/12/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/12/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/12/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/12/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/12/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/12/20,0,0,187.0
Northwest Territories,Canada,64.8255,-124.8457,2/12/20,0,0,36.0
Yukon,Canada,64.2823,-135.0,2/12/20,0,0,403.0
Alberta,Canada,53.9333,-116.5765,2/13/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/13/20,4,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/13/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/13/20,0,0,1.0
New Brunswick,Canada,46.5653,-66.4619,2/13/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/13/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,2/13/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/13/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/13/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/13/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/13/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/13/20,0,0,42.0
Northwest Territories,Canada,64.8255,-124.8457,2/13/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/13/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/14/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/14/20,4,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/14/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/14/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2/14/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/14/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,2/14/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/14/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/14/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/14/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/14/20,0,0,12.0
Diamond Princess,Canada,0.0,0.0,2/14/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/14/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/14/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/15/20,0,0,9.0
British Columbia,Canada,49.2827,-123.1207,2/15/20,4,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/15/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/15/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2/15/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/15/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,2/15/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/15/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/15/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/15/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/15/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/15/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/15/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/15/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/16/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/16/20,4,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/16/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/16/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2/16/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/16/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,2/16/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/16/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/16/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/16/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/16/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/16/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/16/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/16/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/17/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2/17/20,5,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/17/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/17/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2/17/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/17/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,2/17/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/17/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/17/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/17/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/17/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2/17/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2/17/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,2/17/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2/18/20,0,0,1.0
British Columbia,Canada,49.2827,-123.1207,2/18/20,5,0,0.0
Grand Princess,Canada,37.6489,-122.6655,2/18/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2/18/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2/18/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2/18/20,0,0,2.0
Nova Scotia,Canada,44.682,-63.7443,2/18/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2/18/20,3,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2/18/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2/18/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2/18/20,0,0,0.0
